,link,title
2888,http://pittsburghpa.gov/publicsafety/blotterview/2888,"UPDATE: Police Investigate Aggravated Assault Downtown, One Wounded - 07.16.2024"
2887,http://pittsburghpa.gov/publicsafety/blotterview/2887,"Downtown High-Visibility Patrol Arrests and Citations for the Week of July 7- July14, 2024 - 07.15.2024"
2886,http://pittsburghpa.gov/publicsafety/blotterview/2886,Child in Critical Condition Being Struck by Vehicle in Crafton Heights - 07.14.2024
2884,http://pittsburghpa.gov/publicsafety/blotterview/2884,"UPDATE: Police, Fire, EMS Respond to Vehicle/ Motorcycle Collision  - 07.14.2024"
2885,http://pittsburghpa.gov/publicsafety/blotterview/2885,Police Investigate Suspected Road Rage Shooting Incident on Parkway Onramp - 07.14.2024
2883,http://pittsburghpa.gov/publicsafety/blotterview/2883,Police Investigate Overnight Shooting Incident in Garfield - 07.13.2024
2882,http://pittsburghpa.gov/publicsafety/blotterview/2882,UPDATE: Police Seek the Public's Assistance to Locate Missing Juvenile - 07.12.2024
2880,http://pittsburghpa.gov/publicsafety/blotterview/2880,"Violence Prevention Unit Arrests Four, Recovers Multiple Firearms During Patrols - 07.12.2024"
2879,http://pittsburghpa.gov/publicsafety/blotterview/2879,"EMS, Fire, and Police Respond for Workers Trapped on Scaffolding Outside Downtown Office Tower - 07.12.2024"
2877,http://pittsburghpa.gov/publicsafety/blotterview/2877,Police Seek the Public's Assistance to Identify Assault Suspect - 07.11.2024
2878,http://pittsburghpa.gov/publicsafety/blotterview/2878,UPDATE: Police Seek the Public’s Help to Find Missing Woman  - 07.11.2024
2875,http://pittsburghpa.gov/publicsafety/blotterview/2875,"Male With Stab Wound Found in the Hill District, Police Investigate - 07.10.2024"
2876,http://pittsburghpa.gov/publicsafety/blotterview/2876,"Police, Fire, EMS Respond to Fire in City's Spring Hill Neighborhood - 07.10.2024"
2874,http://pittsburghpa.gov/publicsafety/blotterview/2874,UPDATE: Police Investigate After Male Found Severely Injured Downtown - 07.10.2024
2872,http://pittsburghpa.gov/publicsafety/blotterview/2872,Police Arrest One After Collision in Stolen Vehicle  - 07.08.2024
2873,http://pittsburghpa.gov/publicsafety/blotterview/2873,"Police Investigate Shooting in East Liberty, One Injured - 07.08.2024"
2871,http://pittsburghpa.gov/publicsafety/blotterview/2871,Pittsburgh Police Plan Increased Downtown Presence with High Visibility Police Patrol Initiative - 07.08.2024
2870,http://pittsburghpa.gov/publicsafety/blotterview/2870,"Two Injured in Overnight Shooting, Detectives Investigating - 07.06.2024"
2869,http://pittsburghpa.gov/publicsafety/blotterview/2869,Department of Public Safety Highlights Safe and Successful Fourth of July - 07.05.2024
2868,http://pittsburghpa.gov/publicsafety/blotterview/2868,UPDATE: Police Search for Missing and Endangered Senior Citizen - 07.05.2024
2867,http://pittsburghpa.gov/publicsafety/blotterview/2867,"Police, Fire, EMS Respond to Vehicle Collision Inside the Liberty Tunnel - 07.04.2024"
2866,http://pittsburghpa.gov/publicsafety/blotterview/2866,"Juvenile Male Injured in Overnight Shooting in Spring Hill, Detectives Investigating - 07.04.2024"
2865,http://pittsburghpa.gov/publicsafety/blotterview/2865,"Police Investigate Overnight Shooting in Mount Washington, One Injured - 07.04.2024"
